,Common Name,FlockingWinter,FlockingFall
1,AmericanCrow,Y,Y
2,AmericanGoldfinch,Y,Y
3,AmericanPipit,NA,Y
4,AmericanRobin,Y,Y
5,AnnasHummingbird,N,N
6,BandTailedPigeon,NA,Y
7,BarredOwl,N,N
8,BeltedKingfisher,N,N
9,BewicksWren,N,Y
10,BlackHeadedGrosbeak,NA,N
11,BlackThroatedGrayWarbler,NA,N
12,BrewersBlackbird,Y,Y
13,BrownCreeper,N,N
14,BrownHeadedCowbird,NA,Y
15,Bushtit,Y,Y
16,CanadaGoose,Y,Y
17,CassinsVireo,NA,N
18,CedarWaxwing,Y,Y
19,ChestnutBackedChickadee,Y,Y
20,ChippingSparrow,NA,N
21,CommonRaven,N,Y
22,CommonYellowthroat,NA,N
23,CoopersHawk,N,N
24,DarkEyedJunco,Y,Y
25,DownyWoodpecker,N,N
26,EurasianCollaredDove,Y,N
27,EuropeanStarling,Y,Y
28,FoxSparrow,N,N
29,GlaucousWingedGull,Y,N
30,GoldenCrownedKinglet,Y,Y
31,GoldenCrownedSparrow,Y,Y
32,HairyWoodpecker,N,N
33,HammondsFlycatcher,NA,N
34,HermitThrush,N,N
35,HouseFinch,N,Y
36,HouseSparrow,Y,Y
37,HouseWren,NA,N
38,HuttonsVireo,N,N
39,LincolnsSparrow,N,Y
40,MacGillivraysWarbler,NA,N
41,Mallard,Y,Y
42,Merlin,N,N
43,NashvilleWarbler,NA,NA
44,NorthernFlicker,N,N
45,NorthernSawWhetOwl,NA,N
46,NorthernWaterthrush,NA,N
47,OliveSidedFlycatcher,NA,N
48,OrangeCrownedWarbler,NA,N
49,Osprey,N,N
50,PacificSlopeFlycatcher,N,N
51,PacificWren,N,N
52,PileatedWoodpecker,N,N
53,PineSiskin,Y,Y
54,PurpleFinch,N,N
55,RedBreastedNuthatch,N,Y
56,RedBreastedSapsucker,N,N
57,RedCrossbill,Y,Y
58,RedTailedHawk,N,N
59,RedWingedBlackbird,Y,Y
60,RubyCrownedKinglet,N,Y
61,RufousHummingbird,NA,N
62,SavannahSparrow,NA,N
63,SharpShinnedHawk,N,N
64,SongSparrow,N,N
65,SpottedTowhee,N,Y
66,StellersJay,Y,Y
67,SwainsonsThrush,NA,N
68,TownsendsSolitaire,N,N
69,TownsendsWarbler,NA,N
70,TurkeyVulture,N,Y
71,VariedThrush,Y,Y
72,VioletGreenSwallow,NA,Y
73,WarblingVireo,N,Y
74,WesternTanager,NA,Y
75,WesternWoodPewee,NA,N
76,WhiteCrownedSparrow,Y,Y
77,WhiteThroatedSparrow,Y,Y
78,WillowFlycatcher,N,N
79,WilsonsWarbler,NA,N
80,YellowRumpedWarbler,Y,Y
81,YellowWarbler,NA,N